Level,List,Study,Media,Answer,Prompt
T2,List 3,Practice 2,,pick you up,Can you spell this?
T2,List 3,Practice 2,,turn off the radio,Can you spell this?
T2,List 3,Practice 2,,turn on the camera,Can you spell this?
T2,List 3,Practice 2,,looked for my passport,Can you spell this?
T2,List 3,Practice 2,,broke down,Can you spell this?
T2,List 3,Practice 2,,count on you,Can you spell this?
T2,List 3,Practice 2,luvvoice.com-20260820-AriisM.mp3,put on your shoes,Can you spell this?
T2,List 3,Practice 2,luvvoice.com-20260820-OXEdYF.mp3,wake up,Can you spell this?
T2,List 3,Practice 2,luvvoice.com-20260820-IZl6V3.mp3,No way!,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-8wvTgO.mp3,Portuguese,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-JXjjri.mp3,English,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-m5A6Ot.mp3,Maths,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-JDAik5.mp3,Science,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-4C0iYN.mp3,Arts,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-d2f52z.mp3,Physical Education,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-Ta0eaj.mp3,alligator,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-I9PKxl.mp3,giraffe,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-ncOOFG.mp3,hippo,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-GglRza.mp3,iguana,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-cBd6vJ.mp3,leopard,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-bD0FM4.mp3,lion,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-hezKsb.mp3,monkey,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-gQc6V6.mp3,panda,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-7x1m4J.mp3,snake,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-rQM5WC.mp3,head,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-E3uFcT.mp3,eye,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-fyO987.mp3,ear,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-ZbXeNc.mp3,small nose,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-za0fgi.mp3,big mouth,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-BELlQG.mp3,tooth,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-xyHYqj.mp3,sharp teeth,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-hMP9yS.mp3,long neck,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-FX11xt.mp3,tail,Can you spell this?
J1,List 3,Practice 1,luvvoice.com-20260824-S5DYE9.mp3,short leg,Can you spell this?
J1,List 3,Practice 2,,tall,Can you spell this?
J1,List 3,Practice 2,,Brazil,Can you spell this?
J1,List 3,Practice 2,,Canada,Can you spell this?
J1,List 3,Practice 2,,Italy,Can you spell this?
J1,List 3,Practice 2,,Japan,Can you spell this?
J1,List 3,Practice 2,,Mexico,Can you spell this?
J1,List 3,Practice 2,,The United States,Can you spell this?
J1,List 3,Practice 2,,The United Kingdom,Can you spell this?
J1,List 3,Practice 2,,computer,Can you spell this?
J1,List 3,Practice 2,,headphones,Can you spell this?
J1,List 3,Practice 2,,handbag,Can you spell this?
J1,List 3,Practice 2,,trousers,Can you spell this?
J1,List 3,Practice 2,,roller skates,Can you spell this?
J1,List 3,Practice 2,,towel,Can you spell this?
J1,List 3,Practice 2,,Mike's jacket,Can you spell this?
J1,List 3,Practice 2,,Calvin's glasses,Can you spell this?
J1,List 3,Practice 2,,What have you got?,Can you spell this?
J1,List 3,Practice 2,,I've got stickers.,Can you spell this?
J1,List 3,Practice 2,,I love animals!,Can you spell this?
J1,List 3,Practice 2,,I like cats!,Can you spell this?
J1,List 3,Practice 2,,I don't like monsters!,Can you spell this?
J1,List 3,Practice 2,,Where are you from?,Can you spell this?
J1,List 3,Practice 2,,I'm from Brazil.,Can you spell this?
J1,List 3,Practice 2,,She's a teacher.,Can you spell this?
J1,List 3,Practice 2,,He's my friend.,Can you spell this?
J1,List 2,Practice 1,,favourite food,
J1,List 2,Practice 1,,vegetables,
J1,List 2,Practice 1,,meat,
J1,List 2,Practice 1,,fish,
J1,List 2,Practice 1,,bread,
J1,List 2,Practice 1,,rice,
J1,List 2,Practice 1,,potato,
J1,List 2,Practice 1,,milk,
J1,List 2,Practice 1,,cheese,
J1,List 2,Practice 1,,water,
J1,List 2,Practice 1,,chicken,
J1,List 2,Practice 1,,yogurt,
J1,List 2,Practice 1,,beans,
J1,List 2,Practice 1,,cereal,
J1,List 2,Practice 1,,fruit juice,
J1,List 2,Practice 1,,tea,
J1,List 2,Practice 1,,breakfast,
J1,List 2,Practice 1,,lunch,
J1,List 2,Practice 1,,dinner,
J1,List 2,Practice 1,,hot dog,
J1,List 2,Practice 1,,chocolate cake,
J1,List 2,Practice 1,,vanilla milkshake,
J1,List 2,Practice 1,,tuna sandwich,
J1,List 2,Practice 1,,strawberry ice cream,
J1,List 2,Practice 1,,French fries,
J1,List 2,Practice 2,,biscuits,
J1,List 2,Practice 2,,some tomatoes,
J1,List 2,Practice 2,,sweater,
J1,List 2,Practice 2,,sunglasses,
J1,List 2,Practice 2,,mobile phone,
J1,List 2,Practice 2,,stereo,
J1,List 2,Practice 2,,trainers,
J1,List 2,Practice 2,,jeans,
J1,List 2,Practice 2,,thirty-three,
J1,List 2,Practice 2,,forty-four,
J1,List 2,Practice 2,,fifty-five,
J1,List 2,Practice 2,,sixty-six,
J1,List 2,Practice 2,,seventy-seven,
J1,List 2,Practice 2,,eighty-eight,
J1,List 2,Practice 2,,ninety-nine,
J1,List 2,Practice 2,,one hundred,
J1,List 2,Practice 2,,Do you like pasta?,
J1,List 2,Practice 2,,Anything else?,
J1,List 2,Practice 2,,"No, thanks.",
J1,List 2,Practice 2,,Here you are.,
J1,List 2,Practice 2,,Thank you.,
J1,List 2,Practice 2,,You're welcome.,
J1,List 2,Practice 2,,How much is it?,
J1,List 2,Practice 2,,It's cheap.,
J1,List 2,Practice 2,,It's expensive.,
T2,List 2,Practice 1,,meals,
T2,List 2,Practice 1,,sugar,
T2,List 2,Practice 1,,throat,
T2,List 2,Practice 1,,useful,
T2,List 2,Practice 1,,creative,
T2,List 2,Practice 1,,nervous,
T2,List 2,Practice 1,,healthy,
T2,List 2,Practice 1,,sweeter than,
T2,List 2,Practice 1,,busier than,
T2,List 2,Practice 1,,more dangerous,
T2,List 2,Practice 1,,farther,
T2,List 2,Practice 1,,worse,
T2,List 2,Practice 1,,faster,
T2,List 2,Practice 1,,as tasty as,
T2,List 2,Practice 1,,as good as,
T2,List 2,Practice 1,,more fluently than,
T2,List 2,Practice 1,,more slowly,
T2,List 2,Practice 1,,do badly in Science,
T2,List 2,Practice 1,,do well in Portuguese,
T2,List 2,Practice 1,,make friends easily,
T2,List 2,Practice 1,,make fun of friends,
T2,List 2,Practice 1,,take a nap,
T2,List 2,Practice 1,,take care of,
T2,List 2,Practice 1,,take trips to,
T2,List 2,Practice 1,,Bruce used to work.,
T2,List 2,Practice 2,,never used to watch,
T2,List 2,Practice 2,,didn't use to be,
T2,List 2,Practice 2,,Where did you use to live?,
T2,List 2,Practice 2,,started writing songs,
T2,List 2,Practice 2,,became famous,
T2,List 2,Practice 2,,felt lonely,
T2,List 2,Practice 2,,was a Star Trek fan,
T2,List 2,Practice 2,,worked at Starbucks,
T2,List 2,Practice 2,,were friends,
T2,List 2,Practice 2,,about ten hours,
T2,List 2,Practice 2,,over twenty songs,
T2,List 2,Practice 2,,under eighteen years old,
T2,List 2,Practice 2,,in the universe,
T2,List 2,Practice 2,,in the world,
T2,List 2,Practice 2,,on Earth,
T2,List 2,Practice 2,,on the fifth floor,
T2,List 2,Practice 2,,in 1983,
T2,List 2,Practice 2,,in three weeks,
T2,List 2,Practice 2,,on February 21st,
T2,List 2,Practice 2,,on Monday morning,
T2,List 2,Practice 2,,the largest hot dog,
T2,List 2,Practice 2,,the heaviest man,
T2,List 2,Practice 2,,the least expensive restaurant,
T2,List 2,Practice 2,,the furthest galaxy,
T2,List 2,Practice 2,,the worst album,
J1,List 4,Practice 1,,Good morning!,
J1,List 4,Practice 1,,Good afternoon!,
J1,List 4,Practice 1,,Good evening!,
J1,List 4,Practice 1,,Good night!,
J1,List 4,Practice 1,,It's too early.,
J1,List 4,Practice 1,,It's too late.,
J1,List 4,Practice 1,,What time is it?,
J1,List 4,Practice 1,,It's nine a.m.,
J1,List 4,Practice 1,,It's eight p.m.,
J1,List 4,Practice 1,,It's half past four.,
J1,List 4,Practice 1,,It's four-thirty.,
J1,List 4,Practice 1,,bedtime,
J1,List 4,Practice 1,,breakfast,
J1,List 4,Practice 1,,English class,
J1,List 4,Practice 1,,lunch,
J1,List 4,Practice 1,,What time is your dinner?,
J1,List 4,Practice 1,,It's at eight o'clock.,
J1,List 4,Practice 1,,favourite TV show,
J1,List 4,Practice 1,,What's the weather like today?,
J1,List 4,Practice 1,,It's rainy.,
J1,List 4,Practice 1,,It's windy.,
J1,List 4,Practice 1,,It's hot and sunny.,
J1,List 4,Practice 1,,It's cold and sunny.,
J1,List 4,Practice 1,,She's got a camera.,
J1,List 4,Practice 1,,He hasn't got a computer.,
J1,List 4,Practice 2,,draw,
J1,List 4,Practice 2,,ride a horse,
J1,List 4,Practice 2,,play basketball,
J1,List 4,Practice 2,,play football,
J1,List 4,Practice 2,,play table tennis,
J1,List 4,Practice 2,,play the drums,
J1,List 4,Practice 2,,play the guitar,
J1,List 4,Practice 2,,What can you do?,
J1,List 4,Practice 2,,I can swim.,
J1,List 4,Practice 2,,They can play the piano.,
J1,List 4,Practice 2,,She can't ride a bike.,
J1,List 4,Practice 2,,I can't dance.,
J1,List 4,Practice 2,,Can you make a cake?,
J1,List 4,Practice 2,,"Yes, he can.",
J1,List 4,Practice 2,,"No, she can't.",
J1,List 4,Practice 2,,Sit down.,
J1,List 4,Practice 2,,Stand up.,
J1,List 4,Practice 2,,Open the door.,
J1,List 4,Practice 2,,Close the window.,
J1,List 4,Practice 2,,Come here.,
J1,List 4,Practice 2,,Be careful.,
J1,List 4,Practice 2,,Don't move!,
J1,List 4,Practice 2,,Don't touch it!,
J1,List 4,Practice 2,,I like salad.,
J1,List 4,Practice 2,,I don't like milk.,
TA,List 4,Practice 1,,pinapple,
TA,List 4,Practice 1,,papaya,
TA,List 4,Practice 1,,apple,
TA,List 4,Practice 1,,a lot of juice,
TA,List 4,Practice 1,,bread,
TA,List 4,Practice 1,,butter,
TA,List 4,Practice 1,,cake,
TA,List 4,Practice 1,,milkshake,
TA,List 4,Practice 1,,carrot,
TA,List 4,Practice 1,,cereal,
TA,List 4,Practice 1,,cheese,
TA,List 4,Practice 1,,French fries,
TA,List 4,Practice 1,,chicken,
TA,List 4,Practice 1,,egg,
TA,List 4,Practice 1,,castle,
TA,List 4,Practice 1,,cookie,
TA,List 4,Practice 1,,olive oil,
TA,List 4,Practice 1,,a ham sandwich,
TA,List 4,Practice 1,,some pasta,
TA,List 4,Practice 1,,chocolate powder,
TA,List 4,Practice 1,,orange,
TA,List 4,Practice 1,,a few potatoes,
TA,List 4,Practice 1,,strawberry,
TA,List 4,Practice 1,,ice cream,
TA,List 4,Practice 1,,lettuce,
TA,List 4,Practice 2,,sugar,
TA,List 4,Practice 2,,a tea spoon,
TA,List 4,Practice 2,,three boxes,
TA,List 4,Practice 2,,fork,
TA,List 4,Practice 2,,glass,
TA,List 4,Practice 2,,electric bike,
TA,List 4,Practice 2,,bag,
TA,List 4,Practice 2,,a can,
TA,List 4,Practice 2,,a carton on milk,
TA,List 4,Practice 2,,packet,
TA,List 4,Practice 2,,bowl,
TA,List 4,Practice 2,,slice,
TA,List 4,Practice 2,,a cup of flour,
TA,List 4,Practice 2,,knife,
TA,List 4,Practice 2,,day trip,
TA,List 4,Practice 2,,guided tour,
TA,List 4,Practice 2,,go on a cruise,
TA,List 4,Practice 2,,sightseeing,
TA,List 4,Practice 2,,take a boat ride,
TA,List 4,Practice 2,,souvenir,
TA,List 4,Practice 2,,theme park,
TA,List 4,Practice 2,,holographic phone,
TA,List 4,Practice 2,,self-driving car,
TA,List 4,Practice 2,,VR glasses,
TA,List 4,Practice 2,,cleaning robot,
